Id,Label,timeset,hash,member,stakes,weighted degree,modularity_class,pageranks
111,111,,0x43df478caf6450109ab25b6418bed2919b6166b9,1,0,0,106,0.001301
112,112,,0x441428454b614d2bb2782165ef1cee53da79dd93,1,0,0,107,0.001301
113,113,,0x443e3948c38c1bb07a2d6f028ed052a922581d5b,1,0,0,108,0.001301
114,114,,0x47f7dd197d6e5ef897c2ec53a4d45af87489e441,1,0,0,109,0.001301
115,115,,0x485c2c637b9df7f189eb0452d234dfdeee13af03,1,0,0,110,0.001301
116,116,,0x48832562d5c50267cb1a42d88622ee2b18b5f9d2,1,0,0,111,0.001301
117,117,,0x49739691fb5f3992b3f2536f309d955558e75933,1,0,0,112,0.001301
118,118,,0x49d776ed2d6fcfe2078805b18ea6fd01ca6d1266,1,0,0,113,0.001301
119,119,,0x4a0200096a86f4d51095a1e3c7a00b3744dc3ff3,1,0,0,114,0.001301
120,120,,0x4c5472116fe8fdc491428899aa7f3b2d8e631896,1,0,0,115,0.001301
121,121,,0x4c6e230774b2bb74c2889a6679db1ed19d73aa26,1,0,0,116,0.001301
122,122,,0x4cecc8cd98d2693431338b774777cc967a2ed879,1,0,0,117,0.001301
123,123,,0x4efbcfacba805254e59462af3b0f0c83ddd6af3a,1,23,49,175,0.029697
124,124,,0x4fcba22f6a98b38f3f9c6fd8d6306ca698255618,1,0,0,118,0.001301
125,125,,0x50161fdbc87076e557bdac3c5586b9e0998ce2b7,1,0,0,119,0.001301
126,126,,0x5394dc2a6979395cb3893b1215112afb9d04353b,1,0,0,120,0.001301
127,127,,0x54488ad9f88cf00397de235d343c421dcb4d5245,1,0,0,121,0.001301
128,128,,0x54e9a1aa8bc314ed3109c5915d2dc388b1d594ba,1,0,0,122,0.001301
129,129,,0x566bd52454aed2dafd7469c8aba9e313a748cae7,1,0,0,123,0.001301
130,130,,0x57204702acbaea34b45b6ded28162f442c15f607,1,0,0,124,0.001301
131,131,,0x5769b4b1c9494335b295d44a66eb1fe41e78a423,1,0,0,125,0.001301
132,132,,0x57757e3d981446d585af0d9ae4d7df6d64647806,1,0,0,126,0.001301
133,133,,0x58b753f0c417494226af608b63e80028255cbc64,1,1,1,386,0.003097
134,134,,0x58fdd0fa08ccde333e1f17d232dd418258fc5150,1,0,0,127,0.001301
135,135,,0x5ac6dffab8d7c0085ff9b6cdcf8b72f2a1ca06e4,1,0,0,128,0.001301
136,136,,0x5ac843eecbf67669d4003aa49ae5e0136dc73365,1,0,0,129,0.001301
137,137,,0x5bdc20c8d3b00268c1cb0d1ae404956b6feef19a,1,1,1,175,0.001822
138,138,,0x5c11b0655e7c7e63eb11709bcf9c70da95276c87,1,0,0,130,0.001301
139,139,,0x5c4b2dbb3f9773186a14a5736c5b13705f0c4c4d,1,0,0,131,0.001301
140,140,,0x5c87915f26b5414e9748300caa7a67f5f0c1b989,1,0,0,132,0.001301
141,141,,0x5c91c5fd6851f9ed55dacb5d7eae87d9549b8d82,1,0,0,133,0.001301
142,142,,0x5d8c4d2e82400dddd785788d3bc4eb6985441566,1,0,0,134,0.001301
143,143,,0x5e79a38034862733788eefdc3ffedb094444c482,1,0,0,135,0.001301
144,144,,0x5f72c7ca304679b07c527dd0f245f76b5d62ce61,1,0,0,136,0.001301
145,145,,0x5faad293282818791356d5f83af8748fb8842522,1,0,0,137,0.001301
146,146,,0x5fda40f5059a5650d5a4a0e56b3cf35cf3b8e4a5,1,0,0,138,0.001301
147,147,,0x601c6d9eff76ae8cd7bff5fc4900f20f6f80734f,1,0,0,139,0.001301
148,148,,0x60b4aa91028ab07df9bee21e4f7d8767d9d6debf,1,0,0,140,0.001301
149,149,,0x60b650aaf8002cd4ed096858d641ebbc13264594,1,0,0,141,0.001301
150,150,,0x60dafedf4865cc4bb95270002d04a25dcfc63c24,1,0,0,142,0.001301
151,151,,0x60e8405ffbe127b17b3a37e51a95fdae3ffd8277,1,0,0,143,0.001301
152,152,,0x6260204b5714c692804d1c71f325fdb0e184339d,1,0,0,144,0.001301
153,153,,0x6365ca7eeac872310727dacebfd5c31fe9ebacea,1,0,0,145,0.001301
154,154,,0x63a5d59953b8a317de02b292549489e259cb77a5,1,0,0,146,0.001301
155,155,,0x63e62588330657c99ba79139e7c21af0c0db1e7e,1,0,0,147,0.001301
156,156,,0x656e5569bef7781bf0db199d32027766053501ff,1,0,0,148,0.001301
157,157,,0x6595732468a241312bc307f327ba0d64f02b3c20,1,0,0,149,0.001301
158,158,,0x663d3947f03ef5b387992b880ac85940057c13e3,1,0,0,150,0.001301
159,159,,0x6651a0a95e7e19c13dd94cab16c91c201337b56a,1,0,0,151,0.001301
160,160,,0x66c11da57f28043f41b5e566b74f62f7c0a4ea29,1,0,0,152,0.001301
161,161,,0x66c18ac12b1d4790939e84aa3476adfcd8284180,1,0,0,153,0.001301
162,162,,0x6719203c1dd377ed03268af96d33ed7e2c24a19d,1,0,0,154,0.001301
163,163,,0x67229e248d9afef7a36efa7a652d458e951c3724,1,0,0,155,0.001301
164,164,,0x67a16655c1c46f8822726e989751817c49f29054,1,0,0,156,0.001301
165,165,,0x684252cf95529a209ed9bd1f1b8b6ce36f17e6b8,1,0,0,157,0.001301
166,166,,0x6950b57f8851a3fdfe7576c3b9633d516751c5c5,1,0,0,158,0.001301
167,167,,0x6952bb94f2b6ba725868b44e2c654da67c43fcc6,1,0,0,159,0.001301
168,168,,0x69ac317916524f22fc8ba860a9e218f6ed93917c,1,0,0,160,0.001301
169,169,,0x69ae672aa95b648d5319d5424a7922690a55a95b,1,0,0,161,0.001301
170,170,,0x6a983e653d6d7c81fbd29dd7cc638b6f36242d08,1,0,0,162,0.001301
171,171,,0x6ac0a885ed84f4a2d062c60fb7daaf504fc8c47f,1,0,0,163,0.001301
172,172,,0x6af855deb29e3bddfd8434369a78521102c1c998,1,0,0,164,0.001301
173,173,,0x6d0e342e01d1b7aa7f973e2f92fd91673a3d3515,1,0,0,165,0.001301
174,174,,0x6d1a4be65723355a9f5b12c446780a5000849461,1,0,0,166,0.001301
175,175,,0x6dd5f1bf1ffa6a3173e333c1588f4cdde8c6799e,1,0,0,167,0.001301
176,176,,0x6f0e26acb8d20a6356c98a5bb6e28e6d8defc29b,1,0,0,168,0.001301
177,177,,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,1,0,0,169,0.001301
178,178,,0x7143a19c74ff007cac92820a243324911407ac5d,1,0,0,170,0.001301
179,179,,0x71ce21a0776df966052cac4fe98d18313dd3c214,1,0,0,171,0.001301
180,180,,0x723ce1691eb38384fe4111a8694bf85c6218a09a,1,0,0,172,0.001301
181,181,,0x7294f8591f927a98b178b6d5762fafcace4cccb4,1,0,0,173,0.001301
182,182,,0x72ee53e890f6a0065dc6c35382f6528a474d8515,1,0,0,174,0.001301
183,183,,0x730fd267ef60b27615324b94bf0bc7ed15d52718,1,28,51,175,0.026094
184,184,,0x7359490bcf03aa66c5d0e1deec474d3d97b46c43,1,0,0,176,0.001301
185,185,,0x73db6408abbea97c5db8a2234c4027c315094936,1,0,0,177,0.001301
186,186,,0x759a2169da1b826f795a00a9ab5f29f9ca39e48a,1,0,0,178,0.001301
187,187,,0x76331984a34edcc88f70d34b2348777bc43c6ca5,1,0,0,179,0.001301
188,188,,0x76602fae6ccb0ec482f95a5f3e2bc3d92c54f4ec,1,0,0,180,0.001301
189,189,,0x76cf794b40ae7fc93cf6da66417820db505e6479,1,0,0,181,0.001301
190,190,,0x78ce3083af5d6d4b8182a5688e57e42a7c1ff79c,1,0,0,182,0.001301
191,191,,0x78f0fa9da7871a7988fa4f2729104591c325212c,1,0,0,183,0.001301
192,192,,0x7933b94746df9a0791402c1da59c371c1691f145,1,0,0,184,0.001301
193,193,,0x797f63620e62dbc83a5bc88c6a43494ded428cbe,1,0,0,185,0.001301
194,194,,0x79b63d1077c2f12015397a0922e516c1f68c0ce5,1,0,0,186,0.001301
195,195,,0x7a16d2ae6832ca63cc2ae793d0388baa978991c9,1,0,0,187,0.001301
196,196,,0x7b892e392d82ec5a384e244b6c483e64433b2234,1,0,0,188,0.001301
197,197,,0x7c0e2daa386e4ff4dbbbf4b0cfadf35a625aa86c,1,0,0,189,0.001301
198,198,,0x7c706b03b8da889152b0e5e32574c7f0440c7f87,1,0,0,190,0.001301
199,199,,0x7cc672080e0f3a1e28c281d352fce350fd20dd86,1,0,0,191,0.001301
200,200,,0x7ccf2d36f8646a395a3af7b4087337532a03bc49,1,0,0,192,0.001301
201,201,,0x7dc252b36ca3dd3573abfc47076d28bb423b0774,1,2,0,193,0.001301
202,202,,0x7e72cfd9a36517435dc1ca7f9451eccbc973111e,1,1,1,382,0.001954
203,203,,0x7f2a1ef39ea0d470b5669ce105a13c5b3bd8cd31,1,0,0,194,0.001301
204,204,,0x818ff73a5d881c27a945be944973156c01141232,1,0,0,195,0.001301
205,205,,0x81d1029b9140721c509d7469c1c2028b0c4eb687,1,0,0,196,0.001301
206,206,,0x82f3f10675d7294ee4aeac90a5ed7b7c642bb640,1,0,0,197,0.001301
207,207,,0x838ed92f3625717e8c320aa7166a28c45838c9c3,1,0,0,198,0.001301
208,208,,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,1,0,0,199,0.001301
209,209,,0x84443f61efc60d10da9f9a2398980cd5748394bb,1,27,21,382,0.010689
