Id,Label,timeset,hash,reputation,pageranks,weighted degree
134,134,,0x931ae58fb5896ae1afd5b41ce6bf108762261a00,7.583181,0.00172,6
135,135,,0x95d9bed31423eb7d5b68511e0352eae39a3cdd20,11.829962,0.00117,0
136,136,,0x95fd1628e15e4ead16e4f85cc1e4e8c58d8bc34c,18.057784,0.033739,376
137,137,,0x961a6c9a698ca5fc334376eb430dbf10ea21113e,7.583181,0.00117,0
138,138,,0x961d17419736d517754d886aaacc874711a3ff32,11.829962,0.00117,0
139,139,,0x96c70c2b3deeb82141f7912ad87f7f6e1e7ae5cc,11.37495,0.00117,0
140,140,,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,98.511376,0.017905,203
141,141,,0x9be06a9f5299752c5c56e280b2c1985267fe098a,7.583181,0.001405,3
142,142,,0x9dfc7173a925d33ecda397c8c62e3f3a999ae3f7,7.583181,0.00117,0
143,143,,0x9f7dfab2222a473284205cddf08a677726d786a0,16.683425,0.00117,0
144,144,,0xa02a1e93668a477debcd62a3d39ea1b4f9278acc,6.657849,0.006847,70
145,145,,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,68.944887,0.011785,130
146,146,,0xa1b02d8c67b0fdcf4e379855868deb470e169cfb,79.48857,0.00976,100
147,147,,0xa3199ecb23ea4ef39cc28bf5bb4a880e60d3b42d,11.37495,0.00117,0
148,148,,0xa46b0546481a04b7de049a8a20f8a9b2b2c5cc05,7.583181,0.00117,0
149,149,,0xa75cb02c290e586b010888bd795f0beb01e1b6a2,11.829962,0.00117,0
150,150,,0xa88c953d9bfcdcfa46d9ec29586820d55c4ec0dc,10.919937,0.001675,6
151,151,,0xa8c10bb33d996fbe0f47aae7e19306f424371ed3,26.863565,0.006042,56
152,152,,0xa8c7372dc993d7510c9c45425807d463967cbb12,10.919937,0.00148,4
153,153,,0xab787f725780f64ef2c56afa078d910a8aaa7aef,24.700164,0.004585,42
154,154,,0xabccb8f0a3c206bb0468c52ccc20f3b81077417b,7.583181,0.00117,0
155,155,,0xac78927a0f35989be259622047388c0a1a99e4ad,27.009168,0.00117,0
156,156,,0xad7575aefd4d64520c3269fd24eae1b0e13dbe7b,11.37495,0.00139,3
157,157,,0xada083a3c06ee526f827b43695f2dcff5c8c892b,49.154461,0.007138,67
158,158,,0xaecaea22cd213f0df786af9f8b7d2f651af84d3c,11.981633,0.00117,0
159,159,,0xb038105f748b1033c6a8d01fefe0c15cdfdb70fb,11.37495,0.001649,6
160,160,,0xb1b7586656116d546033e3baff69bfcd6592225e,51.596253,0.051589,601
161,161,,0xb1ba56fc6ed94d45ca47cc9e97df68f3df772d42,16.480356,0.021049,235
162,162,,0xb1e9911d68679cca27054095a8b863cd3dc0bcbc,7.583181,0.00117,0
163,163,,0xb38698d1cf896ad6d3bbef3e6ee6b90a78837a1f,21.263881,0.00117,0
164,164,,0xb5e407a8e9dfd7ddf2371ae465e3e1d4886418e0,11.829962,0.00117,0
165,165,,0xb64850fe701fb64667b6cc762aa2c12f2e02193c,100,0.019684,219
166,166,,0xb6ca51ca72c689b720235aca37e579f821fa05ee,7.27984,0.001644,6
167,167,,0xb6dacfc9e6443f2546e9285ba4ae6359cdc20727,14.321757,0.002736,20
168,168,,0xb8a8e2425958ff0b3721540ac298bf8eed98efea,10.351172,0.00117,0
169,169,,0xb9205202f3b3c0ae071a58c1bc96bf48154b083c,11.37495,0.00117,0
